n,Mn
3.390000000000000000e+02,1.402767525129551096e+01
3.400000000000000000e+02,1.402773223145895187e+01
3.410000000000000000e+02,1.402787839016364124e+01
3.420000000000000000e+02,1.402878058529375060e+01
3.430000000000000000e+02,1.402949245977352355e+01
3.440000000000000000e+02,1.402998304477439717e+01
3.450000000000000000e+02,1.403003259512884426e+01
3.460000000000000000e+02,1.403025418278230063e+01
3.470000000000000000e+02,1.403088445941394902e+01
3.480000000000000000e+02,1.403161521145610280e+01
3.490000000000000000e+02,1.403198183105299357e+01
3.500000000000000000e+02,1.403200129041845479e+01
3.510000000000000000e+02,1.403277298587190813e+01
3.520000000000000000e+02,1.403359162292440310e+01
3.530000000000000000e+02,1.403373757748243911e+01
3.540000000000000000e+02,1.403410388588397062e+01
3.550000000000000000e+02,1.403530435617153671e+01
3.560000000000000000e+02,1.403597427192567082e+01
3.570000000000000000e+02,1.403597742058012798e+01
3.580000000000000000e+02,1.403612400006280225e+01
3.590000000000000000e+02,1.403643474464111662e+01
3.600000000000000000e+02,1.403643866926395845e+01
